match_type,wikidata_name,apify_name,wikidata_qid,wikidata_city,wikidata_country,apify_city,apify_country,apify_rating,distance_meters,wikidata_id,apify_id
exact_name,"Canadian Museum of History","Canadian Museum of History",Q1032269,"Gatineau","Canada","Gatineau","Canada",4.6,70,d418fc82-8eca-4cdd-b091-2de7461e708c,78ddd6e4-be13-4205-8c52-e53feb4f1f48
location_only,"Cannon County Courthouse","County Court Clerk",Q5032755,"Tennessee","United States","Woodbury","United States",3.4,29,82effc63-ad54-4ca8-94a4-9f418a12bffb,34e8d0fc-c953-46d2-8217-d8779a501d6f
location_only,"Cape Town Stadium","DHL Stadium",Q173559,"","","Cape Town","South Africa",4.6,2,65cfacd9-0826-4c11-b96d-470d670ee65f,719f6ed7-cb62-433d-b214-1bc2be73520d
location_only,"Capital Club Building","Raleigh Founded - Capital Club",Q5035528,"Raleigh","United States","Raleigh","United States",4.2,64,2a89cb55-a470-4610-9c5a-277cc021de21,36011118-246a-483b-b768-e58c45e533ef
exact_name,"Capitol Records Building","Capitol Records Building",Q2937482,"Los Angeles","United States","Los Angeles","United States",4.6,47,aa10415b-d5c7-4737-aa78-8a1de448c5f8,4264de07-d88e-4ae8-81df-d76f6844b318
location_only,"Cappella Colleoni","Colleoni Chapel",Q1034843,"Bergamo","Italy","Bergamo","Italy",4.7,9,61e452bb-6e17-4020-b7fc-6a393d349a8c,1f3f8534-0bc5-4314-ab70-9ea25b5efb94
location_only,"Cappella Paolina","Sistine Chapel",Q1034868,"Vatican City","Vatican City","Vatican City","Vatican City",4.7,46,0f91927b-5581-432c-97cb-5d2fe4fbc264,d21ac98d-07bd-47bc-a2d8-6b9bd01ba41f
location_only,"Cappelle-en-Pévèle cemetery","Cimetière de Cappelle-en-Pévèle",Q2140985,"Cappelle-en-Pévèle","France","Cappelle-en-Pévèle","France",,14,6b4267c0-4bb0-4fa4-b68b-eb3a683049b9,a3d37614-9fea-47e7-81ef-3d626baab18e
location_only,"Capt. John Jeffries Burial Marker","Palestine Cemetery",Q5036442,"New Jersey","United States","Egg Harbor Township","United States",3,2,0f34a27d-3143-443a-8250-5fa4e2d55a0a,54994892-372b-4865-8c60-af188a552651
similar_name,"Carew Tower","Carew Tower Observation Deck",Q152129,"Cincinnati","United States","Cincinnati","United States",4.6,9,29e94306-d038-4880-9a1c-fd7defec50de,b51b576d-5408-4f65-9d3a-46230cfd4433
location_only,"Carleton Crematorium and Cemetery","Carleton Cemetery & Crematorium",Q5041212,"England","United Kingdom","Poulton-le-Fylde","United Kingdom",4.5,30,6970fa8f-c020-4bb8-9b01-55af9c35ced3,caf9ff42-1667-464d-aedb-2b90350aa2c6
location_only,"Carlton Hotel, Amsterdam","Door 74",Q4026256,"Amsterdam","Netherlands","Amsterdam","Netherlands",4.5,86,82ca985e-e9db-42af-9d30-262e1ca0e95f,04006104-97cb-4f7e-9b78-86cc598ef129
similar_name,"Carlton Tel Aviv","Carlton",Q9184754,"Tel Aviv","Israel","Tel Aviv-Yafo","Israel",4.5,2,7d967bc7-4ced-4872-bcaf-3be21b2e71d5,63caff96-98a1-4aa7-9187-1f8dde162952
similar_name,"Carmelite Church","Carmelite Church, Warsaw",Q4569133,"Warsaw","Poland","Warsaw","Poland",4.7,17,d104b313-0e21-4fd2-a478-82e119d99cbb,d9cc5fbe-e27d-4367-b7b0-1a7b046ddec1
similar_name,"Carolina Inn","The Carolina Inn, a Destination by Hyatt Hotel",Q5044845,"Chapel Hill","United States","Chapel Hill","United States",4.6,81,e7d336f7-9ec6-4e46-ae3b-0cf2541709af,733b2274-f184-490b-8ae5-107aeb20bd72
location_only,"Caroline Brevard Grammar School","Bloxham Building",Q5044990,"Florida","United States","Tallahassee","United States",,19,0c49871b-26ae-4319-9c29-50802e3d1dd9,28b8b107-0ef1-4b43-adba-eabd76aec034
location_only,"Caroline Church and Cemetery","Caroline Episcopal Churchyard and Cemetery",Q5045018,"Brookhaven","United States","Setauket- East Setauket","United States",,47,c0506a76-dda3-48f2-adb7-b4ee8d7c8a23,0234946d-544b-4619-a489-ac7ea477dfd9
location_only,"Carrousel du Louvre","Louis XIV sous les traits de Marcus Curtius (copie)",Q2940350,"Paris","France","Paris","France",4.6,33,c03088ee-ba25-487d-b80d-63a772a8b835,c5fc70ab-577d-4d5d-a565-40a025dae84d
exact_name,"Carvin German military cemetery","Carvin German military cemetery",Q2972638,"Carvin","France","Carvin","France",5,47,2894fd36-3000-496c-9551-93579c67db4c,da6d10ac-8549-4232-858d-24d1952a0e48
similar_name,"Casa Boleda","Centre d'Ocupació Discapacitats Físics. Centre Casa Boleda",Q17593594,"L'Hospitalet de Llobregat","Spain","L'Hospitalet de Llobregat","Spain",5,9,66d08129-730c-463b-af15-3bb17b188e01,d61738fd-2fbb-4430-843d-16a7a367fbeb
similar_name,"Casa das Canoas","Casa das Canoas | Fundação Oscar Niemeyer",Q6816788,"Rio de Janeiro","Brazil","Rio de Janeiro","Brazil",3.7,36,da82a2e9-6513-4297-b608-9afa21540112,3c94929f-426c-4c32-9d27-0f828fe5fb02
exact_name,"Casa de las Bolas","Casa de las Bolas",Q29167249,"Madrid","Spain","Madrid","Spain",4.5,68,6bd73283-6e72-4697-a8e2-f4d19f353bee,bbb33122-4814-42e8-bbd9-66108d954176
similar_name,"Casa Vicens","Casa Vicens Gaudí",Q746333,"Vila de Gràcia","Spain","Barcelona","Spain",4.6,1,d39676a0-8cc0-4465-ae03-7efe24cb1ea6,8865e03b-dcee-42c0-adfb-1a2ffb051bae
similar_name,"Casablanca Finance City Tower","Casablanca Finance City",Q60851364,"Casablanca","Morocco","Casablanca","Morocco",4.7,70,740155fb-36c7-4ad9-9a4b-50e9a05da0c1,a6701267-817a-40fd-b4f6-6fbfff9c1871
similar_name,"Casamaures","La Casamaures (Villa Mauresque)",Q2940800,"Saint-Martin-le-Vinoux","France","Grenoble","France",4.6,78,3ebf3ffb-c8a9-4354-9928-afd85bbef6dd,f5071f61-fce3-49cc-9137-74234ed0a8b0
exact_name,"Casino da Madeira","Casino da Madeira",Q6586935,"Sé","Portugal","Funchal","Portugal",4.1,47,d29f290c-6f32-416f-98fb-876ace1f46b5,b071ff81-d972-43e1-bb57-98776b6593f9
similar_name,"Casino de Murcia","Real Casino de Murcia",Q8342036,"Murcia","Spain","Murcia","Spain",4.7,2,9f57f561-7f3f-436a-83dd-18dd580056b5,35fe6fda-c8c1-4087-a584-38fa46829b45
location_only,"Casino Kursaal Ostend","Kursaal Oostende",Q2516946,"Ostend","Belgium","Ostend","Belgium",4.3,70,85be27db-3331-499d-a967-2dfbd24eaeb0,e4236173-5fe4-474b-bda8-6accc6f1ed2b
similar_name,"Casino La Constància","Nou Casino la Constància",Q17595729,"Sant Feliu de Guíxols","Spain","Sant Feliu de Guíxols","Spain",2.7,108,ac0f7591-23ad-473c-a6b4-81eb36bf712d,cf575184-92e8-45fe-8e4d-50ca31a4436b
similar_name,"Casino Mauresque","Belvédère Casino Mauresque",Q2941080,"Arcachon","France","Arcachon","France",4.8,97,3910a729-fce5-4ed7-b4de-f8d7b4fa5582,b1711830-f993-465c-ba6f-9565c9e61073
