wikidata_id,wikidata_name,wikidata_qid,wikidata_city,wikidata_country,apify_id,apify_name,apify_rating,apify_city,apify_country,apify_gpid,distance_meters
9be1a68a-3e15-4361-bd48-3a4da8ce8fff,"Laboe Naval Memorial",Q538382,"Laboe","Germany",dfce0da9-fd1c-40f0-858e-04c5e9d981ec,"Naval Memorial",4.7,"Laboe","Germany",ChIJ8dxluLj5skcRQmBi6NPfjkY,12
35c74ba8-6f19-45c5-a63a-722b215a61ec,"Lafayette Anticipations – Galeries Lafayette Corporate Foundation",Q17353174,"Paris","France",f8a3c3eb-48c4-4fff-bb8f-f6bd1edb28f9,"Bombance",4.8,"Paris","France",ChIJBeetLDRv5kcRqLSnz94ajQI,70
b126a924-5024-40be-91e2-266f04ccda11,"Lafayette Escadrille Memorial",Q3333144,"Marnes-la-Coquette","France",b86d4462-282f-47ec-beb6-023a80b460cb,"Lafayette Escadrille Memorial Cemetery",4.5,"Marnes-la-Coquette","France",ChIJwRw_dJd85kcRL9V3M1n9kiA,39
8d031e6b-bcc1-48fe-bd4a-8f4873a8443b,"Laires Churchyard",Q2085403,"Laires","France",6c5159e6-bc34-41a9-bd5e-64384d9965bc,"Église catholique Saint-Martin à Laires et son Cimetière",4.7,"Laires","France",ChIJi8ZyewwH3UcRCdqd1DN3ndI,28
76bd3a48-a14a-4c05-915e-b4b7d8bd7ec1,"Lake Hotel",Q2069466,"Teton County","United States",a7479065-d151-446d-9944-2dced396e324,"Lake Yellowstone Hotel & Cabins",3.9,"Yellowstone National Park","United States",ChIJo_6DbF4cTlMR-ZQWlM4eL7o,20
9bae2f8d-d54a-43b4-9e2e-80e7e5b66578,"Lamel Hill (Anglo-Saxon tumulus)",Q6481692,"City of York","United Kingdom",20a63c0b-dae3-47a8-b578-505b1a349074,"Lamel Hill",4.3,"York","United Kingdom",ChIJ71TM5rQxeUgRF3Ekl9YboqE,39
ae4b1968-753f-490e-b068-f24a2c832102,"Landtag of North Rhine-Westphalia",Q1803999,"Düsseldorf","Germany",26c1b0ee-ac7c-4606-b00c-c0c9da3ba4e5,"State Parliament of North Rhine-Westphalia",3.9,"Düsseldorf","Germany",ChIJTYhqbhLKuEcRfvuk-nPBCWc,9
62fc0517-ebb5-4c95-a433-0b6f0b9b3278,"Lapido Building",Q1133967,"Montevideo","Uruguay",6d3a7037-9bb7-4c3a-b065-30b336f8e9eb,"Edificio Lapido",,"Montevideo","Uruguay",ChIJG7Uu2yyAn5URpTY0b73Bu8E,19
a8b1eeef-cce5-435b-ac81-f176c773cbd0,"Lateran Palace",Q848394,"","",569d3e48-ac19-4d78-af4f-32920340e233,"Laterano Caffè",4.5,"Rome","Italy",ChIJ8RaPvr9hLxMRl23iJm_7RD0,82
894e744e-22ab-478c-bdb8-d41c47a5160a,"Lausanne railway station",Q669678,"Lausanne","Switzerland",1938c092-8e28-4aa0-9f82-42f3c09117fc,"Lausanne",4,"Lausanne","Switzerland",ChIJEQLzX80vjEcRLgPvAOwnkkc,34
6d516719-b988-41a7-bd78-36f4d4a3fbef,"Laventie Communal Cemetery",Q2045656,"Laventie","France",3fd06b0d-552a-4d18-91e2-21704805acb0,"Laventie cemetery",1,"Laventie","France",ChIJS3tytJsn3UcRE7owtIWsL-8,49
735b89da-9fe4-4af8-b65b-c5ecd5d62249,"Lazarevskoe (Saint-Lazar) cemetery in Ryazan",Q2972460,"Ryazan","Russia",678131d6-4b2d-489b-afc4-d293ba45f0e7,"Lazarevskiy Nekropol'",4.3,"Ryazan","Russia",ChIJISLXjTniSUERciTZ49XyErU,66
810fb12f-5ff7-4eb8-9bbb-f735e7306507,"Le Crotoy Communal Cemetery",Q2298276,"Le Crotoy","France",8603d232-b96c-4d96-8eee-ade9900d990e,"Cimetière du Crotoy",,"Le Crotoy","France",ChIJ7eCpG5nl3UcRw_DlYL6Co1U,30
ca40affb-72ab-4dc7-8bba-f894be16efc2,"Le Falstaff",Q3516289,"City of Brussels","Belgium",c3d50ea8-5619-45c5-a9d4-253f60f46e64,"Pl. de la Bourse",,"Brussels","Belgium",ChIJP2UKgofDw0cRPU2iZkj6xCU,106
7fc5ff9d-3595-4255-a136-8604ee0a2d04,"Le Nemausus",Q3337995,"Nîmes","France",fae46a53-c0db-4b05-b64f-d8e53b95b976,"Nemausus 1",3.9,"Nîmes","France",ChIJs2NBPhkttBIROnhm1smkoTs,59
8c7a09b8-982a-4bb5-8b0d-49ab3f037742,"Le Volcan",Q3228210,"Le Havre","France",2eaa5e99-4f04-4308-93fc-02aebee654c9,"Le Volcan, Scène nationale du Havre",4.5,"Le Havre","France",ChIJJ5c5oSEv4EcRa86ZNpvMaFY,12
